proteome_id	source	ecosystem	domain	mag_id_candidate	source_analysis_accession	analysis_alias	filename	proteome_faa_stem	mag_fasta_matched	mag_fasta_best_key	mag_fasta_match_count	mag_fasta_best_path	mag_fasta_all_paths	proteome_faa_matched	proteome_faa_best_key	proteome_faa_match_count	proteome_faa_best_path
mucc__3300016725_15	mucc	wetland	Unknown	3300016725_15				mucc__3300016725_15	True	mag_id_candidate	3	data/assemblies/3300016725_15.fasta	data/assemblies/3300016725_15.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300016725_15.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300016725_15.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300016725_15.faa
mucc__3300017643_20	mucc	wetland	Unknown	3300017643_20				mucc__3300017643_20	True	mag_id_candidate	3	data/assemblies/3300017643_20.fasta	data/assemblies/3300017643_20.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300017643_20.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300017643_20.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300017643_20.faa
mucc__3300017947_8	mucc	wetland	Unknown	3300017947_8				mucc__3300017947_8	True	mag_id_candidate	3	data/assemblies/3300017947_8.fasta	data/assemblies/3300017947_8.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300017947_8.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300017947_8.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300017947_8.faa
mucc__3300017959_16	mucc	wetland	Unknown	3300017959_16				mucc__3300017959_16	True	mag_id_candidate	3	data/assemblies/3300017959_16.fasta	data/assemblies/3300017959_16.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300017959_16.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300017959_16.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300017959_16.faa
mucc__3300017975_11	mucc	wetland	Unknown	3300017975_11				mucc__3300017975_11	True	mag_id_candidate	3	data/assemblies/3300017975_11.fasta	data/assemblies/3300017975_11.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300017975_11.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300017975_11.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300017975_11.faa
mucc__3300018012_6	mucc	wetland	Unknown	3300018012_6				mucc__3300018012_6	True	mag_id_candidate	3	data/assemblies/3300018012_6.fasta	data/assemblies/3300018012_6.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300018012_6.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300018012_6.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300018012_6.faa
mucc__3300018019_17	mucc	wetland	Unknown	3300018019_17				mucc__3300018019_17	True	mag_id_candidate	3	data/assemblies/3300018019_17.fasta	data/assemblies/3300018019_17.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300018019_17.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300018019_17.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300018019_17.faa
mucc__3300021071_20	mucc	wetland	Unknown	3300021071_20				mucc__3300021071_20	True	mag_id_candidate	3	data/assemblies/3300021071_20.fasta	data/assemblies/3300021071_20.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300021071_20.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300021071_20.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300021071_20.faa
mucc__3300025858_29	mucc	wetland	Unknown	3300025858_29				mucc__3300025858_29	True	mag_id_candidate	3	data/assemblies/3300025858_29.fasta	data/assemblies/3300025858_29.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300025858_29.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300025858_29.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300025858_29.faa
mucc__3300025963_1	mucc	wetland	Unknown	3300025963_1				mucc__3300025963_1	True	mag_id_candidate	3	data/assemblies/3300025963_1.fasta	data/assemblies/3300025963_1.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300025963_1.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300025963_1.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300025963_1.faa
mucc__3300025975_1	mucc	wetland	Unknown	3300025975_1				mucc__3300025975_1	True	mag_id_candidate	3	data/assemblies/3300025975_1.fasta	data/assemblies/3300025975_1.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300025975_1.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300025975_1.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300025975_1.faa
mucc__3300026026_4	mucc	wetland	Unknown	3300026026_4				mucc__3300026026_4	True	mag_id_candidate	3	data/assemblies/3300026026_4.fasta	data/assemblies/3300026026_4.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300026026_4.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300026026_4.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300026026_4.faa
mucc__3300027825_24	mucc	wetland	Unknown	3300027825_24				mucc__3300027825_24	True	mag_id_candidate	3	data/assemblies/3300027825_24.fasta	data/assemblies/3300027825_24.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300027825_24.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300027825_24.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300027825_24.faa
mucc__3300027972_11	mucc	wetland	Unknown	3300027972_11				mucc__3300027972_11	True	mag_id_candidate	3	data/assemblies/3300027972_11.fasta	data/assemblies/3300027972_11.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300027972_11.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300027972_11.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300027972_11.faa
mucc__3300027979_35	mucc	wetland	Unknown	3300027979_35				mucc__3300027979_35	True	mag_id_candidate	3	data/assemblies/3300027979_35.fasta	data/assemblies/3300027979_35.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300027979_35.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300027979_35.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300027979_35.faa
mucc__3300028669_5	mucc	wetland	Unknown	3300028669_5				mucc__3300028669_5	True	mag_id_candidate	3	data/assemblies/3300028669_5.fasta	data/assemblies/3300028669_5.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300028669_5.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300028669_5.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300028669_5.faa
mucc__3300032805_20	mucc	wetland	Unknown	3300032805_20				mucc__3300032805_20	True	mag_id_candidate	3	data/assemblies/3300032805_20.fasta	data/assemblies/3300032805_20.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300032805_20.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300032805_20.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300032805_20.faa
mucc__3300032892_32	mucc	wetland	Unknown	3300032892_32				mucc__3300032892_32	True	mag_id_candidate	3	data/assemblies/3300032892_32.fasta	data/assemblies/3300032892_32.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300032892_32.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300032892_32.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300032892_32.faa
mucc__3300034281_6	mucc	wetland	Unknown	3300034281_6				mucc__3300034281_6	True	mag_id_candidate	3	data/assemblies/3300034281_6.fasta	data/assemblies/3300034281_6.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300034281_6.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300034281_6.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300034281_6.faa
mucc__3300036760_62	mucc	wetland	Unknown	3300036760_62				mucc__3300036760_62	True	mag_id_candidate	3	data/assemblies/3300036760_62.fasta	data/assemblies/3300036760_62.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300036760_62.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300036760_62.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300036760_62.faa
mucc__3300036886_19	mucc	wetland	Unknown	3300036886_19				mucc__3300036886_19	True	mag_id_candidate	3	data/assemblies/3300036886_19.fasta	data/assemblies/3300036886_19.fasta;data/blue_catalyst_poc/mucc/extracted/Methanoregula_MAGs_DB/3300036886_19.fna;data/mucc/Methanoregula_MAGs_DB/Methanoregula_MAGs_DB/3300036886_19.fna	True	proteome_faa_stem	1	data/blue_catalyst_poc/proteomes/mucc__3300036886_19.faa
